"No.","Time","Source","Destination","Protocol","Length","Info"
"269","30.999550","192.168.43.159","192.168.43.165","TCP","66","56914  >  5001 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"275","32.014331","192.168.43.159","192.168.43.165","TCP","66","[TCP Retransmission] 56914  >  5001 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"295","34.025738","192.168.43.159","192.168.43.165","TCP","66","[TCP Retransmission] 56914  >  5001 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"298","34.087261","192.168.43.165","192.168.43.159","TCP","66","5001  >  56914 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"299","34.087384","192.168.43.159","192.168.43.165","TCP","54","56914  >  5001 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"300","34.088026","192.168.43.159","192.168.43.165","TCP","80","56914  >  5001 [PSH, ACK] Seq=1 Ack=1 Win=131328 Len=26"
"301","34.132270","192.168.43.165","192.168.43.159","TCP","54","5001  >  56914 [ACK] Seq=1 Ack=27 Win=65536 Len=0"
"303","34.180890","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=1 Ack=27 Win=65536 Len=1460"
"304","34.180890","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=1461 Ack=27 Win=65536 Len=1460"
"305","34.180890","192.168.43.165","192.168.43.159","TCP","241","5001  >  56914 [PSH, ACK] Seq=2921 Ack=27 Win=65536 Len=187"
"306","34.181051","192.168.43.159","192.168.43.165","TCP","54","56914  >  5001 [ACK] Seq=27 Ack=3108 Win=131328 Len=0"
"308","34.196623","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=27 Ack=3108 Win=131328 Len=1460"
"309","34.243090","192.168.43.165","192.168.43.159","TCP","54","5001  >  56914 [ACK] Seq=3108 Ack=1487 Win=65536 Len=0"
"310","34.243160","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=1487 Ack=3108 Win=131328 Len=1460"
"311","34.243160","192.168.43.159","192.168.43.165","TCP","243","56914  >  5001 [PSH, ACK] Seq=2947 Ack=3108 Win=131328 Len=189"
"312","34.265458","192.168.43.165","192.168.43.159","TCP","54","5001  >  56914 [ACK] Seq=3108 Ack=3136 Win=65536 Len=0"
"313","34.266582","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=3108 Ack=3136 Win=65536 Len=1460"
"314","34.267358","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=4568 Ack=3136 Win=65536 Len=1460"
"315","34.267358","192.168.43.165","192.168.43.159","TCP","241","5001  >  56914 [PSH, ACK] Seq=6028 Ack=3136 Win=65536 Len=187"
"316","34.267468","192.168.43.159","192.168.43.165","TCP","54","56914  >  5001 [ACK] Seq=3136 Ack=6215 Win=131328 Len=0"
"317","34.269849","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=3136 Ack=6215 Win=131328 Len=1460"
"318","34.269849","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=4596 Ack=6215 Win=131328 Len=1460"
